Method,Thr,Recall,Prec,F1,TP,FP,TN,FN
Normal,0.99,0.0,0.0,0.0,0,0,500,500
Normal,0.95,0.0,0.0,0.0,0,0,500,500
Normal,0.9,0.0,0.0,0.0,0,0,500,500
Normal,0.7,0.0,0.0,0.0,0,0,500,500
Normal,0.5,0.0,0.0,0.0,0,0,500,500
Normal,0.3,0.0,0.0,0.0,0,0,500,500
Normal,0.1,0.978,0.502053388090349,0.6635006784260515,489,485,15,11
BlockWhisper,0.99,0.176,1.0,0.29931972789115646,88,0,500,412
BlockWhisper,0.95,0.626,1.0,0.7699876998769988,313,0,500,187
BlockWhisper,0.9,0.636,1.0,0.7775061124694376,318,0,500,182
BlockWhisper,0.7,0.638,1.0,0.778998778998779,319,0,500,181
BlockWhisper,0.5,0.64,1.0,0.7804878048780487,320,0,500,180
BlockWhisper,0.3,0.648,0.9969230769230769,0.7854545454545455,324,1,499,176
BlockWhisper,0.1,1.0,0.7987220447284346,0.8880994671403198,500,126,374,0
GraphShadow,0.99,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.95,0.0,0.0,0.0,0,0,500,500
GraphShadow,0.9,0.014,1.0,0.027613412228796843,7,0,500,493
GraphShadow,0.7,0.412,0.9809523809523809,0.5802816901408451,206,4,496,294
GraphShadow,0.5,0.668,0.9794721407624634,0.7942925089179548,334,7,493,166
GraphShadow,0.3,0.786,0.9825,0.8733333333333334,393,7,493,107
GraphShadow,0.1,0.838,0.9766899766899767,0.9020452099031216,419,10,490,81
DDSAC,0.99,0.0,0.0,0.0,0,0,500,500
DDSAC,0.95,0.0,0.0,0.0,0,0,500,500
DDSAC,0.9,0.0,0.0,0.0,0,0,500,500
DDSAC,0.7,1.0,1.0,1.0,500,0,500,0
DDSAC,0.5,1.0,1.0,1.0,500,0,500,0
DDSAC,0.3,1.0,1.0,1.0,500,0,500,0
DDSAC,0.1,1.0,0.9960159362549801,0.998003992015968,500,2,498,0
GBCTD,0.99,0.15,1.0,0.2608695652173913,75,0,500,425
GBCTD,0.95,0.652,1.0,0.7893462469733655,326,0,500,174
GBCTD,0.9,0.652,0.9969418960244648,0.788391777509069,326,1,499,174
GBCTD,0.7,0.972,0.997946611909651,0.9848024316109422,486,1,499,14
GBCTD,0.5,0.996,0.9979959919839679,0.9969969969969971,498,1,499,2
GBCTD,0.3,0.996,0.9979959919839679,0.9969969969969971,498,1,499,2
GBCTD,0.1,0.996,0.9979959919839679,0.9969969969969971,498,1,499,2
